ID Keluarga P3KE,Kecamatan,Desil Kesejahteraan,Persentil,Penerima SEMBAKO
189321952,KALIWUNGU,1,3,0
189321954,KALIWUNGU,1,4,0
189321955,KALIWUNGU,1,5,0
189321956,KALIWUNGU,1,9,0
189321957,KALIWUNGU,1,3,0
189321958,KALIWUNGU,1,6,0
189321961,KALIWUNGU,1,9,1
189321990,KALIWUNGU,1,5,0
189322037,KALIWUNGU,1,3,0
189322057,KALIWUNGU,1,4,0
189322096,KALIWUNGU,1,9,0
189322129,KALIWUNGU,1,8,0
189322130,KALIWUNGU,1,1,0
189322189,KALIWUNGU,1,5,1
189322192,KALIWUNGU,1,7,0
189322222,KALIWUNGU,1,6,0
189322223,KALIWUNGU,1,2,0
189322226,KALIWUNGU,1,3,0
189322228,KALIWUNGU,1,5,0
189322233,KALIWUNGU,1,5,0
189322237,KALIWUNGU,1,8,0
189322240,KALIWUNGU,1,4,0
189322242,KALIWUNGU,1,6,0
189322243,KALIWUNGU,1,2,1
189322247,KALIWUNGU,1,7,0
189322248,KALIWUNGU,1,6,0
189322249,KALIWUNGU,1,3,0
189322250,KALIWUNGU,1,7,0
189322253,KALIWUNGU,1,6,0
189322254,KALIWUNGU,1,4,0
189322255,KALIWUNGU,1,7,0
189322256,KALIWUNGU,1,3,0
189322257,KALIWUNGU,1,6,0
189322260,KALIWUNGU,1,1,1
189322261,KALIWUNGU,1,2,0
189322262,KALIWUNGU,1,8,0
189322264,KALIWUNGU,1,4,0
189322266,KALIWUNGU,1,3,1
189322268,KALIWUNGU,1,5,0
189322270,KALIWUNGU,1,3,0
189322272,KALIWUNGU,1,6,0
189322278,KALIWUNGU,1,7,0
189322279,KALIWUNGU,1,5,0
189322281,KALIWUNGU,1,6,0
189322283,KALIWUNGU,1,7,0
189322284,KALIWUNGU,1,4,0
189322288,KALIWUNGU,1,6,0
189322290,KALIWUNGU,1,9,0
189322294,KALIWUNGU,1,1,0
189322297,KALIWUNGU,1,8,0
189322300,KALIWUNGU,1,8,1
189322302,KALIWUNGU,1,8,0
189322304,KALIWUNGU,1,2,0
189322308,KALIWUNGU,1,4,0
189322320,KALIWUNGU,1,7,0
189322322,KALIWUNGU,1,7,0
189322329,KALIWUNGU,1,5,0
189322339,KALIWUNGU,1,4,0
189322343,KALIWUNGU,1,8,0
189322422,KALIWUNGU,1,9,0
189322433,KALIWUNGU,1,1,1
189322435,KALIWUNGU,1,5,0
189322436,KALIWUNGU,1,8,0
189322461,KALIWUNGU,1,4,0
189322462,KALIWUNGU,1,1,0
189322463,KALIWUNGU,1,6,1
189322468,KALIWUNGU,1,9,0
189322472,KALIWUNGU,1,7,0
189322473,KALIWUNGU,1,5,0
189322477,KALIWUNGU,1,5,0
189322488,KALIWUNGU,1,9,1
189322489,KALIWUNGU,1,1,0
189322509,KALIWUNGU,1,7,0
189322524,KALIWUNGU,1,4,1
189322529,KALIWUNGU,1,1,0
189322538,KALIWUNGU,1,6,0
189322542,KALIWUNGU,1,3,0
189322543,KALIWUNGU,1,1,0
189322544,KALIWUNGU,1,3,0
189322545,KALIWUNGU,1,9,1
189322546,KALIWUNGU,1,5,0
189322548,KALIWUNGU,1,1,0
189322552,KALIWUNGU,1,8,0
189322553,KALIWUNGU,1,5,0
189322555,KALIWUNGU,1,9,1
189322556,KALIWUNGU,1,4,0
189322557,KALIWUNGU,1,4,0
189322567,KALIWUNGU,1,6,0
189322570,KALIWUNGU,1,1,1
189322571,KALIWUNGU,1,4,0
189322573,KALIWUNGU,1,6,0
189322576,KALIWUNGU,1,4,0
189322579,KALIWUNGU,1,6,0
189322582,KALIWUNGU,1,6,0
189322588,KALIWUNGU,1,8,0
189322596,KALIWUNGU,1,4,0
189322597,KALIWUNGU,1,3,1
